MSOA11CD,No. people in flood risk areas,% people in flood risk areas,LSOA11CD
E02000001,385,0.03960497891163461,NA
E02000012,412,0.036489239217075545,NA
E02000017,1284,0.1384366576819407,NA
E02000019,1014,0.1105297580117724,NA
E02000020,9815,0.7349307375514789,NA
E02000021,358,0.04002683363148479,NA
E02000022,3344,0.4086520835879262,NA
E02000023,5909,0.7364157527417746,NA
E02000026,219,0.03321704838465039,NA
E02000036,864,0.07419493344783169,NA
E02000041,1543,0.1537771576639426,NA
E02000047,581,0.04677185638383513,NA
E02000050,609,0.0553133514986376,NA
E02000053,1856,0.11123763859754271,NA
E02000057,489,0.05988977342314758,NA
E02000065,8601,0.9608982236621606,NA
E02000066,10182,1,NA
E02000067,3228,0.30878132772144634,NA
E02000068,2020,0.2462513714494697,NA
E02000072,3059,0.23460388066569524,NA
E02000087,385,0.047927299887962155,NA
E02000092,397,0.05852867462774584,NA
E02000093,428,0.03870151008228592,NA
E02000098,335,0.04013417994489038,NA
E02000102,908,0.11983634683911838,NA
E02000104,706,0.09731219848380428,NA
E02000113,3137,0.32521252332573086,NA
E02000118,572,0.054763044518908566,NA
E02000137,240,0.028106335636491394,NA
E02000139,344,0.043043043043043044,NA
E02000144,1752,0.174780526735834,NA
E02000150,795,0.09134781109962083,NA
E02000151,363,0.04746959591996862,NA
E02000153,728,0.09278613306143257,NA
E02000159,637,0.09152298850574712,NA
E02000196,563,0.06989447548106766,NA
E02000197,471,0.04884878655880523,NA
E02000202,339,0.039962277496168805,NA
E02000203,1116,0.1376757957068838,NA
E02000211,341,0.042265741199801685,NA
E02000217,1268,0.1023323379872488,NA
E02000220,342,0.025537634408602152,NA
E02000222,534,0.06404413528424083,NA
E02000224,1435,0.1773356401384083,NA
E02000230,2261,0.21294029007346016,NA
E02000233,1042,0.16337409846346818,NA
E02000235,805,0.11556129773184037,NA
E02000243,368,0.043741828123142756,NA
E02000249,420,0.05661140315406389,NA
E02000271,2635,0.3823273360417876,NA
E02000279,1382,0.1058030929413566,NA
E02000293,296,0.04588435901410634,NA
E02000299,517,0.050875811848061406,NA
E02000300,519,0.05725317153888582,NA
E02000301,2101,0.1926285871458696,NA
E02000304,331,0.04097548898242139,NA
E02000306,2002,0.21671357436674604,NA
E02000309,2512,0.2024174053182917,NA
E02000313,7470,1,NA
E02000314,10616,0.6604454398407366,NA
E02000315,9649,1,NA
E02000316,5733,0.37894110648423557,NA
E02000318,3461,0.32899239543726233,NA
E02000319,1487,0.127083155285873,NA
E02000320,369,0.05034106412005457,NA
E02000321,603,0.07828118914708555,NA
E02000357,589,0.08988249656645811,NA
E02000362,2466,0.3291510945008009,NA
E02000376,4841,0.7043503564673359,NA
E02000377,3957,0.48338626924016614,NA
E02000378,2282,0.3530321782178218,NA
E02000379,6664,0.8426909458775923,NA
E02000380,5737,1,NA
E02000381,4949,0.624400706535453,NA
E02000382,5671,0.9623281859833701,NA
E02000383,811,0.09144210170255948,NA
E02000384,6889,0.9243257748557627,NA
E02000385,5378,0.9161839863713799,NA
E02000386,4332,0.5388729941535016,NA
E02000387,5980,1,NA
E02000388,5563,0.6400138057984354,NA
E02000389,7918,0.9305441297449759,NA
E02000390,697,0.1103546548448385,NA
E02000391,7849,0.9723736372646185,NA
E02000392,7440,0.7845618475166086,NA
E02000393,3325,0.5608974358974359,NA
E02000394,9284,1,NA
E02000395,6251,1,NA
E02000396,7080,1,NA
E02000411,290,0.02687922884419316,NA
E02000438,765,0.09704427248509451,NA
E02000440,645,0.06692954238871018,NA
E02000448,676,0.09737827715355805,NA
E02000451,536,0.08190709046454768,NA
E02000453,430,0.052083333333333336,NA
E02000471,295,0.03882600684390629,NA
E02000474,363,0.039192399049881234,NA
E02000476,531,0.05158344666796192,NA
E02000478,391,0.06729776247848537,NA
E02000491,847,0.08595494215546987,NA
E02000493,1789,0.2624706572769953,NA
E02000497,338,0.03663956639566396,NA
E02000498,589,0.09575678751422532,NA
E02000500,356,0.04321961879324997,NA
E02000502,395,0.04500911577028259,NA
E02000504,367,0.049268358168881726,NA
E02000524,288,0.03461122461242639,NA
E02000526,8068,0.950966525223951,NA
E02000528,1513,0.12142857142857143,NA
E02000531,998,0.09387639920985796,NA
E02000532,8075,0.9008255243195002,NA
E02000533,6070,0.7229633158646974,NA
E02000539,329,0.029914529914529916,NA
E02000545,421,0.04813629087582895,NA
E02000594,1776,0.22916129032258065,NA
E02000595,198,0.025997899159663867,NA
E02000596,161,0.02086302967474407,NA
E02000597,2776,0.38994240764152266,NA
E02000601,3492,0.259185036740147,NA
E02000602,948,0.0797442799461642,NA
E02000606,1181,0.10405286343612334,NA
E02000607,572,0.07097654795880382,NA
E02000610,235,0.028728606356968216,NA
E02000619,8579,0.9408861592454486,NA
E02000620,10622,1,NA
E02000621,8114,0.6526705276705277,NA
E02000622,1671,0.188218067132237,NA
E02000625,369,0.043503890591841544,NA
E02000629,671,0.07425030430452584,NA
E02000630,1410,0.1754604280736685,NA
E02000652,351,0.04465648854961832,NA
E02000653,11768,1,NA
E02000654,7629,0.8659477866061294,NA
E02000655,5602,0.6013955984970478,NA
E02000658,748,0.08507734303912648,NA
E02000661,292,0.04240487946558234,NA
E02000663,298,0.04006992066693559,NA
E02000664,1727,0.11763503848511682,NA
E02000665,1670,0.1907699337445739,NA
E02000666,970,0.13125845737483086,NA
E02000668,830,0.10952757983636843,NA
E02000672,260,0.025299211832246763,NA
E02000700,367,0.04371129109099571,NA
E02000704,184,0.022099447513812154,NA
E02000708,297,0.03558164610039535,NA
E02000710,731,0.08524781341107872,NA
E02000713,261,0.03553921568627451,NA
E02000715,1385,0.18059720954492112,NA
E02000718,3825,0.5141820137115204,NA
E02000725,733,0.07219541022357924,NA
E02000726,5736,0.21634669784633953,NA
E02000728,1474,0.17984382625671058,NA
E02000733,6223,0.61388971095985,NA
E02000736,6644,0.7336572438162544,NA
E02000737,3040,0.29983233060459613,NA
E02000740,4242,0.5945339873861247,NA
E02000742,2854,0.3248719408081958,NA
E02000743,7551,0.7417485265225933,NA
E02000744,5046,0.5307668034080152,NA
E02000745,4058,0.4930142145547321,NA
E02000746,6110,0.723162504438395,NA
E02000747,13544,0.9611126880499574,NA
E02000748,3396,0.5244787644787645,NA
E02000749,6577,0.7674445740956826,NA
E02000750,16414,1,NA
E02000754,334,0.05026335590669676,NA
E02000755,701,0.12533524047917038,NA
E02000759,1111,0.08342719831793947,NA
E02000774,523,0.06918904617012832,NA
E02000779,870,0.09610074008615928,NA
E02000780,585,0.03285409412557565,NA
E02000781,411,0.02714663143989432,NA
E02000784,9483,0.9369627507163324,NA
E02000785,3155,0.31330685203574976,NA
E02000786,6465,0.5570874623007325,NA
E02000787,3340,0.2726308056485185,NA
E02000790,1476,0.22118986962385734,NA
E02000792,906,0.12326530612244897,NA
E02000797,449,0.05614605477053895,NA
E02000799,577,0.09263124096965805,NA
E02000801,483,0.06681422050076083,NA
E02000805,1517,0.1327092992739043,NA
E02000806,233,0.022586273749515315,NA
E02000807,5715,0.6010095698811652,NA
E02000808,9930,0.8669460450497642,NA
E02000809,13978,0.9765264775744027,NA
E02000810,12934,0.9572940566945451,NA
